H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,愛媛,△,0,0,0,0,0,1,13
A,長崎,○,3,0,3,0,3,4,5
H,松本,△,0,0,3,0,3,5,6
H,札幌,●,0,2,3,2,1,5,11
A,山形,○,1,0,4,2,2,8,9
A,熊本,○,2,0,6,2,4,11,6
H,Ｃ大阪,●,0,2,6,4,2,11,9
H,讃岐,△,2,2,8,6,2,12,9
A,北九州,○,2,1,10,7,3,15,6
H,金沢,○,4,1,14,8,6,18,4
A,京都,●,1,2,15,10,5,18,6
A,岐阜,△,1,1,16,11,5,19,7
H,徳島,●,0,1,16,12,4,19,9
A,東京Ｖ,●,1,2,17,14,3,19,10
H,群馬,○,8,0,25,14,11,22,9
A,水戸,△,0,0,25,14,11,23,9
A,町田,○,2,1,27,15,12,26,9
H,横浜FC,○,3,0,30,15,15,29,7
H,千葉,△,1,1,31,16,15,30,8
A,山口,○,4,0,35,16,19,33,5
A,岡山,△,2,2,37,18,19,34,6
H,熊本,○,4,0,41,18,23,37,6
A,愛媛,△,2,2,43,20,23,38,5
H,東京Ｖ,●,0,1,43,21,22,38,7
A,千葉,○,4,3,47,24,23,41,6
H,岐阜,○,2,0,49,24,25,44,5
A,札幌,●,2,3,51,27,24,44,6
H,長崎,○,2,0,53,27,26,47,5
H,山口,△,2,2,55,29,26,48,6
A,横浜FC,○,2,0,57,29,28,51,5
H,山形,○,3,1,60,30,30,54,5
H,水戸,○,2,1,62,31,31,57,4
A,松本,●,0,1,62,32,30,57,5
A,Ｃ大阪,○,2,1,64,33,31,60,5
H,町田,○,2,0,66,33,33,63,4
A,金沢,○,3,0,69,33,36,66,4
H,北九州,○,2,0,71,33,38,69,3
A,群馬,○,4,0,75,33,42,72,3
H,京都,○,4,1,79,34,45,75,3
A,讃岐,○,2,1,81,35,46,78,3
H,岡山,○,2,1,83,36,47,81,2
A,徳島,○,2,1,85,37,48,84,2
