H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,岐阜,○,4,0,4,0,4,3,1
H,金沢,○,2,1,6,1,5,6,1
A,Ｃ大阪,●,0,1,6,2,4,6,4
H,讃岐,●,1,2,7,4,3,6,8
A,千葉,△,0,0,7,4,3,7,10
A,水戸,●,0,1,7,5,2,7,11
H,京都,●,0,1,7,6,1,7,16
H,岡山,●,0,1,7,7,0,7,16
A,松本,●,1,2,8,9,-1,7,18
H,東京Ｖ,△,2,2,10,11,-1,8,17
A,山口,●,0,2,10,13,-3,8,19
A,山形,●,1,3,11,16,-5,8,19
H,横浜FC,○,3,1,14,17,-3,11,18
A,徳島,△,1,1,15,18,-3,12,19
A,清水,●,0,8,15,26,-11,12,20
H,愛媛,●,1,2,16,28,-12,12,20
A,北九州,○,3,0,19,28,-9,15,20
H,熊本,△,1,1,20,29,-9,16,20
A,長崎,△,2,2,22,31,-9,17,20
H,札幌,●,0,1,22,32,-10,17,20
H,町田,△,2,2,24,34,-10,18,21
A,京都,△,0,0,24,34,-10,19,21
H,Ｃ大阪,●,0,2,24,36,-12,19,21
H,北九州,△,2,2,26,38,-12,20,22
A,東京Ｖ,○,2,1,28,39,-11,23,20
A,愛媛,●,0,1,28,40,-12,23,20
H,山形,○,2,0,30,40,-10,26,19
A,讃岐,○,3,1,33,41,-8,29,19
H,水戸,○,2,1,35,42,-7,32,16
A,町田,△,0,0,35,42,-7,33,15
A,札幌,●,1,3,36,45,-9,33,15
H,松本,△,1,1,37,46,-9,34,17
A,金沢,●,1,3,38,49,-11,34,18
H,千葉,○,2,1,40,50,-10,37,16
A,熊本,△,1,1,41,51,-10,38,16
H,長崎,○,3,0,44,51,-7,41,15
A,横浜FC,●,2,3,46,54,-8,41,15
H,清水,●,0,4,46,58,-12,41,17
A,岐阜,●,1,2,47,60,-13,41,17
H,山口,○,2,0,49,60,-11,44,15
H,徳島,●,0,3,49,63,-14,44,17
A,岡山,△,3,3,52,66,-14,45,17
