★山形	A	京都	○	2	1	2.0	1.0	1.0	3	3	A	千葉	△	1	1	3.0	2.0	1.0	4	4	A	熊本	△	1	1	4.0	3.0	1.0	5	8	H	讃岐	△	0	0	4.0	3.0	1.0	6	10	H	福岡	△	0	0	4.0	3.0	1.0	7	11	A	長崎	●	0	2	4.0	5.0	-1.0	7	13	H	大分	○	3	2	7.0	7.0	0.0	10	10	H	東京Ｖ	○	1	0	8.0	7.0	1.0	13	10	A	岡山	●	1	2	9.0	9.0	0.0	13	10	A	愛媛	●	0	2	9.0	11.0	-2.0	13	14	H	水戸	△	0	0	9.0	11.0	-2.0	14	15	H	名古屋	△	0	0	9.0	11.0	-2.0	15	16	A	金沢	△	1	1	10.0	12.0	-2.0	16	16	H	松本	○	1	0	11.0	12.0	-1.0	19	13	H	山口	○	3	2	14.0	14.0	0.0	22	10	A	湘南	○	1	0	15.0	14.0	1.0	25	8	A	岐阜	△	1	1	16.0	15.0	1.0	26	9	H	群馬	○	1	0	17.0	15.0	2.0	29	8	A	横浜FC	○	1	0	18.0	15.0	3.0	32	5	H	徳島	●	1	6	19.0	21.0	-2.0	32	10	H	町田	●	1	3	20.0	24.0	-4.0	32	10	A	山口	●	0	2	20.0	26.0	-6.0	32	12	A	名古屋	●	0	1	20.0	27.0	-7.0	32	15	H	湘南	○	3	0	23.0	27.0	-4.0	35	14	A	福岡	●	0	2	23.0	29.0	-6.0	35	16	A	群馬	○	1	0	24.0	29.0	-5.0	38	12	H	金沢	○	2	1	26.0	30.0	-4.0	41	10	A	松本	●	2	3	28.0	33.0	-5.0	41	13	H	千葉	△	2	2	30.0	35.0	-5.0	42	13	A	徳島	△	1	1	31.0	36.0	-5.0	43	13	H	岡山	△	1	1	32.0	37.0	-5.0	44	13	H	京都	△	2	2	34.0	39.0	-5.0	45	12	A	町田	△	0	0	34.0	39.0	-5.0	46	12	H	熊本	●	0	1	34.0	40.0	-6.0	46	13	H	長崎	△	0	0	34.0	40.0	-6.0	47	13	A	東京Ｖ	●	1	3	35.0	43.0	-8.0	47	13	H	長崎	○	2	0	37.0	43.0	-6.0	50	12	A	讃岐	△	0	0	37.0	43.0	-6.0	51	13	H	愛媛	△	2	2	39.0	45.0	-6.0	52	13	A	大分	△	1	1	40.0	46.0	-6.0	53	13	A	水戸	○	1	0	41.0	46.0	-5.0	56	11	H	岐阜	○	4	1	45.0	47.0	-2.0	59	11
★水戸	H	湘南	●	0	1	0.0	1.0	-1.0	0	16	H	金沢	○	4	0	4.0	1.0	3.0	3	9	A	東京Ｖ	●	0	4	4.0	5.0	-1.0	3	14	A	名古屋	●	1	2	5.0	7.0	-2.0	3	17	H	愛媛	○	1	0	6.0	7.0	-1.0	6	14	H	山口	△	1	1	7.0	8.0	-1.0	7	12	A	岐阜	●	1	2	8.0	10.0	-2.0	7	17	A	群馬	○	1	0	9.0	10.0	-1.0	10	13	H	福岡	△	1	1	10.0	11.0	-1.0	11	16	H	町田	○	3	2	13.0	13.0	0.0	14	13	A	山形	△	0	0	13.0	13.0	0.0	15	13	A	長崎	△	0	0	13.0	13.0	0.0	16	13	H	横浜FC	△	0	0	13.0	13.0	0.0	17	14	A	京都	△	1	1	14.0	14.0	0.0	18	14	H	徳島	△	1	1	15.0	15.0	0.0	19	15	A	熊本	○	3	2	18.0	17.0	1.0	22	13	H	大分	○	2	0	20.0	17.0	3.0	25	10	A	松本	○	1	0	21.0	17.0	4.0	28	9	H	千葉	○	3	1	24.0	18.0	6.0	31	7	H	讃岐	○	2	1	26.0	19.0	7.0	34	4	A	岡山	●	0	3	26.0	22.0	4.0	34	7	H	熊本	△	2	2	28.0	24.0	4.0	35	6	A	町田	●	0	2	28.0	26.0	2.0	35	8	A	大分	△	0	0	28.0	26.0	2.0	36	11	H	東京Ｖ	○	3	2	31.0	28.0	3.0	39	9	A	讃岐	●	0	2	31.0	30.0	1.0	39	11	A	愛媛	△	0	0	31.0	30.0	1.0	40	12	H	京都	○	2	0	33.0	30.0	3.0	43	7	A	横浜FC	●	0	1	33.0	31.0	2.0	43	10	A	福岡	△	0	0	33.0	31.0	2.0	44	11	H	名古屋	△	1	1	34.0	32.0	2.0	45	11	H	岐阜	●	1	2	35.0	34.0	1.0	45	11	A	千葉	●	1	2	36.0	36.0	0.0	45	13	H	群馬	○	4	0	40.0	36.0	4.0	48	11	H	松本	●	0	1	40.0	37.0	3.0	48	11	A	湘南	●	0	3	40.0	40.0	0.0	48	12	H	松本	○	1	0	41.0	40.0	1.0	51	11	A	山口	●	0	1	41.0	41.0	0.0	51	12	A	徳島	○	3	2	44.0	43.0	1.0	54	11	H	長崎	●	0	2	44.0	45.0	-1.0	54	11	H	山形	●	0	1	44.0	46.0	-2.0	54	13	A	金沢	●	1	2	45.0	48.0	-3.0	54	14
★群馬	A	長崎	●	0	4	0.0	4.0	-4.0	0	22	A	湘南	●	1	3	1.0	7.0	-6.0	0	22	A	横浜FC	●	0	1	1.0	8.0	-7.0	0	22	H	町田	●	0	1	1.0	9.0	-8.0	0	22	H	岡山	●	1	2	2.0	11.0	-9.0	0	22	A	金沢	●	0	2	2.0	13.0	-11.0	0	22	A	千葉	△	1	1	3.0	14.0	-11.0	1	22	H	水戸	●	0	1	3.0	15.0	-12.0	1	22	A	東京Ｖ	●	1	3	4.0	18.0	-14.0	1	22	H	名古屋	●	1	4	5.0	22.0	-17.0	1	22	H	岐阜	●	0	2	5.0	24.0	-19.0	1	22	A	熊本	○	2	1	7.0	25.0	-18.0	4	22	H	愛媛	●	0	3	7.0	28.0	-21.0	4	22	H	山口	○	2	1	9.0	29.0	-20.0	7	22	A	讃岐	○	2	1	11.0	30.0	-19.0	10	21	A	福岡	○	3	1	14.0	31.0	-17.0	13	20	H	徳島	●	0	2	14.0	33.0	-19.0	13	20	A	山形	●	0	1	14.0	34.0	-20.0	13	21	H	松本	●	0	2	14.0	36.0	-22.0	13	21	H	大分	●	0	4	14.0	40.0	-26.0	13	22	A	京都	●	0	1	14.0	41.0	-27.0	13	22	A	町田	●	0	2	14.0	43.0	-29.0	13	22	H	福岡	●	1	3	15.0	46.0	-31.0	13	22	H	熊本	△	1	1	16.0	47.0	-31.0	14	22	A	岐阜	●	0	2	16.0	49.0	-33.0	14	22	H	山形	●	0	1	16.0	50.0	-34.0	14	22	H	讃岐	●	1	2	17.0	52.0	-35.0	14	22	A	山口	●	2	3	19.0	55.0	-36.0	14	22	H	金沢	△	1	1	20.0	56.0	-36.0	15	22	H	湘南	●	0	2	20.0	58.0	-38.0	15	22	A	大分	●	0	1	20.0	59.0	-39.0	15	22	H	千葉	○	2	0	22.0	59.0	-37.0	18	22	A	松本	●	0	3	22.0	62.0	-40.0	18	22	A	水戸	●	0	4	22.0	66.0	-44.0	18	22	H	横浜FC	△	1	1	23.0	67.0	-44.0	19	22	A	徳島	●	1	4	24.0	71.0	-47.0	19	22	H	横浜FC	●	1	2	25.0	73.0	-48.0	19	22	A	岡山	●	1	2	26.0	75.0	-49.0	19	22	A	名古屋	●	2	4	28.0	79.0	-51.0	19	22	H	京都	△	1	1	29.0	80.0	-51.0	20	22	A	愛媛	●	2	4	31.0	84.0	-53.0	20	22	H	長崎	●	1	4	32.0	88.0	-56.0	20	22
★千葉	A	町田	○	1	0	1.0	0.0	1.0	3	6	H	山形	△	1	1	2.0	1.0	1.0	4	6	H	名古屋	○	2	0	4.0	1.0	3.0	7	1	A	松本	●	1	3	5.0	4.0	1.0	7	8	A	湘南	●	0	2	5.0	6.0	-1.0	7	12	H	京都	△	2	2	7.0	8.0	-1.0	8	10	H	群馬	△	1	1	8.0	9.0	-1.0	9	13	A	山口	○	1	0	9.0	9.0	0.0	12	12	A	横浜FC	●	0	4	9.0	13.0	-4.0	12	15	H	徳島	○	2	0	11.0	13.0	-2.0	15	12	A	讃岐	△	1	1	12.0	14.0	-2.0	16	11	A	金沢	●	1	2	13.0	16.0	-3.0	16	14	H	長崎	○	5	0	18.0	16.0	2.0	19	12	A	東京Ｖ	●	0	3	18.0	19.0	-1.0	19	12	H	熊本	△	1	1	19.0	20.0	-1.0	20	13	H	愛媛	○	4	2	23.0	22.0	1.0	23	11	A	岡山	●	1	2	24.0	24.0	0.0	23	14	H	福岡	△	0	0	24.0	24.0	0.0	24	14	A	水戸	●	1	3	25.0	27.0	-2.0	24	15	A	岐阜	○	6	4	31.0	31.0	0.0	27	13	H	大分	○	4	1	35.0	32.0	3.0	30	13	H	讃岐	○	4	3	39.0	35.0	4.0	33	9	A	熊本	●	0	1	39.0	36.0	3.0	33	12	H	金沢	○	2	0	41.0	36.0	5.0	36	10	A	愛媛	●	0	1	41.0	37.0	4.0	36	12	A	徳島	○	1	0	42.0	37.0	5.0	39	10	H	山口	○	2	1	44.0	38.0	6.0	42	7	H	湘南	●	0	1	44.0	39.0	5.0	42	10	A	山形	△	2	2	46.0	41.0	5.0	43	9	H	岐阜	●	1	3	47.0	44.0	3.0	43	12	H	東京Ｖ	△	2	2	49.0	46.0	3.0	44	12	A	群馬	●	0	2	49.0	48.0	1.0	44	13	H	水戸	○	2	1	51.0	49.0	2.0	47	11	A	長崎	●	1	2	52.0	51.0	1.0	47	12	A	京都	●	0	2	52.0	53.0	-1.0	47	12	H	岡山	○	3	1	55.0	54.0	1.0	50	10	A	京都	○	5	1	60.0	55.0	5.0	53	10	A	福岡	○	1	0	61.0	55.0	6.0	56	10	A	大分	○	2	1	63.0	56.0	7.0	59	10	H	町田	○	2	1	65.0	57.0	8.0	62	9	A	名古屋	○	3	0	68.0	57.0	11.0	65	8	H	横浜FC	○	2	1	70.0	58.0	12.0	68	6
★東京Ｖ	A	徳島	●	0	1	0.0	1.0	-1.0	0	16	H	大分	○	1	0	1.0	1.0	0.0	3	13	H	水戸	○	4	0	5.0	1.0	4.0	6	4	A	山口	○	2	0	7.0	1.0	6.0	9	3	H	岐阜	○	1	0	8.0	1.0	7.0	12	2	A	岡山	○	1	0	9.0	1.0	8.0	15	1	H	湘南	●	2	3	11.0	4.0	7.0	15	3	A	山形	●	0	1	11.0	5.0	6.0	15	3	H	群馬	○	3	1	14.0	6.0	8.0	18	1	A	福岡	●	0	1	14.0	7.0	7.0	18	4	H	金沢	○	2	1	16.0	8.0	8.0	21	4	H	横浜FC	△	1	1	17.0	9.0	8.0	22	4	A	讃岐	△	0	0	17.0	9.0	8.0	23	4	H	千葉	○	3	0	20.0	9.0	11.0	26	4	H	京都	●	1	2	21.0	11.0	10.0	26	5	A	長崎	●	0	1	21.0	12.0	9.0	26	6	A	松本	△	1	1	22.0	13.0	9.0	27	6	H	名古屋	○	2	1	24.0	14.0	10.0	30	6	H	愛媛	△	3	3	27.0	17.0	10.0	31	6	A	町田	○	4	2	31.0	19.0	12.0	34	3	A	熊本	●	0	4	31.0	23.0	8.0	34	5	H	岡山	△	1	1	32.0	24.0	8.0	35	5	A	湘南	●	0	2	32.0	26.0	6.0	35	7	H	讃岐	△	3	3	35.0	29.0	6.0	36	9	A	水戸	●	2	3	37.0	32.0	5.0	36	11	A	金沢	△	0	0	37.0	32.0	5.0	37	13	H	熊本	○	1	0	38.0	32.0	6.0	40	11	A	大分	○	2	0	40.0	32.0	8.0	43	6	H	長崎	○	2	1	42.0	33.0	9.0	46	6	A	愛媛	○	3	0	45.0	33.0	12.0	49	6	A	千葉	△	2	2	47.0	35.0	12.0	50	6	H	松本	●	1	2	48.0	37.0	11.0	50	9	A	横浜FC	△	1	1	49.0	38.0	11.0	51	8	A	名古屋	●	1	4	50.0	42.0	8.0	51	9	H	町田	○	3	1	53.0	43.0	10.0	54	9	H	山形	○	3	1	56.0	44.0	12.0	57	7	H	町田	○	2	1	58.0	45.0	13.0	60	7	A	岐阜	○	2	1	60.0	46.0	14.0	63	5	H	福岡	△	0	0	60.0	46.0	14.0	64	6	H	山口	●	1	2	61.0	48.0	13.0	64	7	A	京都	○	1	0	62.0	48.0	14.0	67	6	H	徳島	○	2	1	64.0	49.0	15.0	70	5
★町田	H	千葉	●	0	1	0.0	1.0	-1.0	0	16	A	讃岐	△	2	2	2.0	3.0	-1.0	1	18	H	岡山	△	1	1	3.0	4.0	-1.0	2	17	A	群馬	○	1	0	4.0	4.0	0.0	5	13	A	金沢	△	2	2	6.0	6.0	0.0	6	13	H	岐阜	●	0	1	6.0	7.0	-1.0	6	15	A	福岡	○	3	1	9.0	8.0	1.0	9	11	H	横浜FC	○	1	0	10.0	8.0	2.0	12	11	H	徳島	●	0	1	10.0	9.0	1.0	12	12	A	水戸	●	2	3	12.0	12.0	0.0	12	15	H	熊本	○	2	1	14.0	13.0	1.0	15	12	H	湘南	△	0	0	14.0	13.0	1.0	16	12	A	松本	△	1	1	15.0	14.0	1.0	17	13	A	名古屋	●	1	2	16.0	16.0	0.0	17	15	H	大分	△	2	2	18.0	18.0	0.0	18	16	A	山口	○	1	0	19.0	18.0	1.0	21	15	H	愛媛	●	1	2	20.0	20.0	0.0	21	17	A	京都	△	2	2	22.0	22.0	0.0	22	17	A	長崎	△	0	0	22.0	22.0	0.0	23	17	H	東京Ｖ	●	2	4	24.0	26.0	-2.0	23	17	A	山形	○	3	1	27.0	27.0	0.0	26	16	H	群馬	○	2	0	29.0	27.0	2.0	29	15	H	水戸	○	2	0	31.0	27.0	4.0	32	13	A	岐阜	○	2	0	33.0	27.0	6.0	35	12	H	京都	●	0	2	33.0	29.0	4.0	35	14	H	福岡	●	0	1	33.0	30.0	3.0	35	15	A	大分	○	3	1	36.0	31.0	5.0	38	14	H	名古屋	●	3	4	39.0	35.0	4.0	38	15	A	愛媛	△	1	1	40.0	36.0	4.0	39	15	H	松本	●	1	2	41.0	38.0	3.0	39	15	A	熊本	○	1	0	42.0	38.0	4.0	42	14	A	岡山	△	1	1	43.0	39.0	4.0	43	14	H	山形	△	0	0	43.0	39.0	4.0	44	14	A	徳島	△	2	2	45.0	41.0	4.0	45	14	A	東京Ｖ	●	1	3	46.0	44.0	2.0	45	14	H	長崎	△	1	1	47.0	45.0	2.0	46	14	A	東京Ｖ	△	1	1	48.0	46.0	2.0	47	15	A	横浜FC	△	2	2	50.0	48.0	2.0	48	15	H	讃岐	△	1	1	51.0	49.0	2.0	49	15	A	千葉	●	1	2	52.0	51.0	1.0	49	15	H	山口	●	0	1	52.0	52.0	0.0	49	16	A	湘南	△	1	1	53.0	53.0	0.0	50	16
★横浜FC	H	松本	○	1	0	1.0	0.0	1.0	3	6	A	長崎	△	1	1	2.0	1.0	1.0	4	6	H	群馬	○	1	0	3.0	1.0	2.0	7	3	A	岐阜	○	2	1	5.0	2.0	3.0	10	2	H	徳島	●	0	2	5.0	4.0	1.0	10	7	A	福岡	△	0	0	5.0	4.0	1.0	11	7	H	京都	○	2	0	7.0	4.0	3.0	14	4	A	町田	●	0	1	7.0	5.0	2.0	14	5	H	千葉	○	4	0	11.0	5.0	6.0	17	2	A	熊本	○	4	1	15.0	6.0	9.0	20	1	H	愛媛	○	4	0	19.0	6.0	13.0	23	1	A	東京Ｖ	△	1	1	20.0	7.0	13.0	24	1	A	水戸	△	0	0	20.0	7.0	13.0	25	2	H	讃岐	○	2	1	22.0	8.0	14.0	28	1	A	岡山	●	1	2	23.0	10.0	13.0	28	3	H	名古屋	●	1	2	24.0	12.0	12.0	28	4	H	山口	○	1	0	25.0	12.0	13.0	31	2	A	大分	△	2	2	27.0	14.0	13.0	32	3	H	山形	●	0	1	27.0	15.0	12.0	32	3	H	湘南	●	0	1	27.0	16.0	11.0	32	7	A	金沢	●	2	3	29.0	19.0	10.0	32	8	A	松本	●	1	3	30.0	22.0	8.0	32	11	H	岐阜	○	1	0	31.0	22.0	9.0	35	6	H	長崎	○	2	1	33.0	23.0	10.0	38	5	A	山口	○	2	1	35.0	24.0	11.0	41	4	H	大分	●	1	2	36.0	26.0	10.0	41	6	A	徳島	△	2	2	38.0	28.0	10.0	42	6	A	讃岐	●	0	1	38.0	29.0	9.0	42	9	H	水戸	○	1	0	39.0	29.0	10.0	45	7	A	名古屋	○	3	2	42.0	31.0	11.0	48	7	A	湘南	△	2	2	44.0	33.0	11.0	49	8	H	金沢	○	2	0	46.0	33.0	13.0	52	6	H	東京Ｖ	△	1	1	47.0	34.0	13.0	53	5	A	愛媛	○	3	2	50.0	36.0	14.0	56	4	A	群馬	△	1	1	51.0	37.0	14.0	57	6	H	福岡	●	1	3	52.0	40.0	12.0	57	8	A	群馬	●	0	2	52.0	42.0	10.0	57	8	H	町田	△	2	2	54.0	44.0	10.0	58	9	A	京都	△	2	2	56.0	46.0	10.0	59	9	H	熊本	○	2	0	58.0	46.0	12.0	62	8	H	岡山	△	1	1	59.0	47.0	12.0	63	9	A	千葉	●	1	2	60.0	49.0	11.0	63	10
★湘南	A	水戸	○	1	0	1.0	0.0	1.0	3	6	H	群馬	○	3	1	4.0	1.0	3.0	6	1	A	金沢	△	0	0	4.0	1.0	3.0	7	1	A	愛媛	○	1	0	5.0	1.0	4.0	10	1	H	千葉	○	2	0	7.0	1.0	6.0	13	1	A	讃岐	●	0	3	7.0	4.0	3.0	13	4	A	東京Ｖ	○	3	2	10.0	6.0	4.0	16	2	H	岐阜	△	3	3	13.0	9.0	4.0	17	2	H	大分	●	0	1	13.0	10.0	3.0	17	5	A	岡山	○	2	0	15.0	10.0	5.0	20	3	H	山口	○	1	0	16.0	10.0	6.0	23	2	A	町田	△	0	0	16.0	10.0	6.0	24	2	A	熊本	○	1	0	17.0	10.0	7.0	27	1	H	福岡	●	0	3	17.0	13.0	4.0	27	3	A	松本	○	2	1	19.0	14.0	5.0	30	2	H	山形	●	0	1	19.0	15.0	4.0	30	3	H	長崎	△	1	1	20.0	16.0	4.0	31	4	A	徳島	○	1	0	21.0	16.0	5.0	34	2	H	京都	○	1	0	22.0	16.0	6.0	37	2	A	横浜FC	○	1	0	23.0	16.0	7.0	40	2	H	名古屋	○	2	1	25.0	17.0	8.0	43	2	A	大分	△	0	0	25.0	17.0	8.0	44	1	H	東京Ｖ	○	2	0	27.0	17.0	10.0	47	1	A	山形	●	0	3	27.0	20.0	7.0	47	1	H	徳島	○	2	0	29.0	20.0	9.0	50	1	H	松本	○	2	1	31.0	21.0	10.0	53	1	A	長崎	○	2	0	33.0	21.0	12.0	56	1	A	千葉	○	1	0	34.0	21.0	13.0	59	1	H	熊本	△	0	0	34.0	21.0	13.0	60	1	A	群馬	○	2	0	36.0	21.0	15.0	63	1	H	横浜FC	△	2	2	38.0	23.0	15.0	64	1	A	山口	○	5	3	43.0	26.0	17.0	67	1	H	讃岐	○	1	0	44.0	26.0	18.0	70	1	A	京都	△	0	0	44.0	26.0	18.0	71	1	H	金沢	○	4	2	48.0	28.0	20.0	74	1	H	水戸	○	3	0	51.0	28.0	23.0	77	1	H	金沢	●	2	3	53.0	31.0	22.0	77	1	H	愛媛	○	1	0	54.0	31.0	23.0	80	1	H	岡山	△	1	1	55.0	32.0	23.0	81	1	A	福岡	●	1	2	56.0	34.0	22.0	81	1	A	岐阜	△	1	1	57.0	35.0	22.0	82	1	H	町田	△	1	1	58.0	36.0	22.0	83	1
★松本	A	横浜FC	●	0	1	0.0	1.0	-1.0	0	16	A	愛媛	△	0	0	0.0	1.0	-1.0	1	19	A	岐阜	○	1	0	1.0	1.0	0.0	4	13	H	千葉	○	3	1	4.0	2.0	2.0	7	7	H	名古屋	●	1	2	5.0	4.0	1.0	7	10	A	徳島	○	2	0	7.0	4.0	3.0	10	8	H	長崎	○	3	0	10.0	4.0	6.0	13	5	A	熊本	●	0	2	10.0	6.0	4.0	13	7	A	京都	△	1	1	11.0	7.0	4.0	14	8	H	讃岐	○	4	0	15.0	7.0	8.0	17	6	A	大分	△	0	0	15.0	7.0	8.0	18	7	H	福岡	●	0	1	15.0	8.0	7.0	18	9	H	町田	△	1	1	16.0	9.0	7.0	19	10	A	山形	●	0	1	16.0	10.0	6.0	19	10	H	湘南	●	1	2	17.0	12.0	5.0	19	14	A	金沢	○	4	0	21.0	12.0	9.0	22	12	H	東京Ｖ	△	1	1	22.0	13.0	9.0	23	13	H	水戸	●	0	1	22.0	14.0	8.0	23	15	A	群馬	○	2	0	24.0	14.0	10.0	26	12	H	岡山	△	1	1	25.0	15.0	10.0	27	12	A	山口	○	2	1	27.0	16.0	11.0	30	12	H	横浜FC	○	3	1	30.0	17.0	13.0	33	8	A	長崎	●	0	1	30.0	18.0	12.0	33	11	H	愛媛	○	2	1	32.0	19.0	13.0	36	8	H	金沢	○	4	0	36.0	19.0	17.0	39	8	A	湘南	●	1	2	37.0	21.0	16.0	39	9	A	名古屋	●	2	5	39.0	26.0	13.0	39	13	H	山形	○	3	2	42.0	28.0	14.0	42	8	A	岡山	△	0	0	42.0	28.0	14.0	43	8	A	町田	○	2	1	44.0	29.0	15.0	46	8	H	徳島	○	3	1	47.0	30.0	17.0	49	7	A	東京Ｖ	○	2	1	49.0	31.0	18.0	52	5	H	群馬	○	3	0	52.0	31.0	21.0	55	4	H	山口	●	2	3	54.0	34.0	20.0	55	6	A	水戸	○	1	0	55.0	34.0	21.0	58	5	H	熊本	○	1	0	56.0	34.0	22.0	61	5	A	水戸	●	1	5	57.0	39.0	18.0	61	5	H	大分	●	0	2	57.0	41.0	16.0	61	7	H	岐阜	○	2	1	59.0	42.0	17.0	64	5	A	讃岐	△	1	1	60.0	43.0	17.0	65	5	A	福岡	△	1	1	61.0	44.0	17.0	66	7	H	京都	●	0	1	61.0	45.0	16.0	66	8
★金沢	A	愛媛	●	0	1	0.0	1.0	-1.0	0	16	A	水戸	●	0	4	0.0	5.0	-5.0	0	21	H	湘南	△	0	0	0.0	5.0	-5.0	1	21	A	長崎	●	1	2	1.0	7.0	-6.0	1	21	H	町田	△	2	2	3.0	9.0	-6.0	2	21	H	群馬	○	2	0	5.0	9.0	-4.0	5	18	A	岡山	○	1	0	6.0	9.0	-3.0	8	16	A	大分	●	0	1	6.0	10.0	-4.0	8	18	H	熊本	●	0	2	6.0	12.0	-6.0	8	20	A	岐阜	●	0	1	6.0	13.0	-7.0	8	20	A	東京Ｖ	●	1	2	7.0	15.0	-8.0	8	21	H	千葉	○	2	1	9.0	16.0	-7.0	11	19	H	山形	△	1	1	10.0	17.0	-7.0	12	18	A	徳島	△	1	1	11.0	18.0	-7.0	13	19	H	福岡	●	0	5	11.0	23.0	-12.0	13	19	H	松本	●	0	4	11.0	27.0	-16.0	13	19	A	名古屋	○	3	2	14.0	29.0	-15.0	16	18	A	讃岐	●	0	1	14.0	30.0	-16.0	16	18	H	山口	○	3	2	17.0	32.0	-15.0	19	18	A	京都	○	3	1	20.0	33.0	-13.0	22	18	H	横浜FC	○	3	2	23.0	35.0	-12.0	25	17	A	福岡	○	2	0	25.0	35.0	-10.0	28	17	H	岡山	●	1	2	26.0	37.0	-11.0	28	17	A	千葉	●	0	2	26.0	39.0	-13.0	28	17	A	松本	●	0	4	26.0	43.0	-17.0	28	18	H	東京Ｖ	△	0	0	26.0	43.0	-17.0	29	18	A	山形	●	1	2	27.0	45.0	-18.0	29	18	H	徳島	●	0	4	27.0	49.0	-22.0	29	18	A	群馬	△	1	1	28.0	50.0	-22.0	30	18	H	讃岐	●	1	2	29.0	52.0	-23.0	30	18	H	長崎	●	1	2	30.0	54.0	-24.0	30	19	A	横浜FC	●	0	2	30.0	56.0	-26.0	30	19	H	名古屋	○	3	1	33.0	57.0	-24.0	33	18	H	大分	△	1	1	34.0	58.0	-24.0	34	19	A	湘南	●	2	4	36.0	62.0	-26.0	34	20	H	愛媛	○	4	1	40.0	63.0	-23.0	37	18	A	湘南	△	1	1	41.0	64.0	-23.0	38	18	H	京都	△	0	0	41.0	64.0	-23.0	39	18	A	山口	○	1	0	42.0	64.0	-22.0	42	18	H	岐阜	△	1	1	43.0	65.0	-22.0	43	18	A	熊本	○	4	1	47.0	66.0	-19.0	46	18	H	水戸	○	2	1	49.0	67.0	-18.0	49	17
★名古屋	H	岡山	○	2	0	2.0	0.0	2.0	3	2	H	岐阜	△	1	1	3.0	1.0	2.0	4	3	A	千葉	●	0	2	3.0	3.0	0.0	4	12	H	水戸	○	2	1	5.0	4.0	1.0	7	8	A	松本	○	2	1	7.0	5.0	2.0	10	5	H	熊本	○	5	1	12.0	6.0	6.0	13	2	H	讃岐	○	2	1	14.0	7.0	7.0	16	1	A	徳島	△	2	2	16.0	9.0	7.0	17	1	H	山口	●	0	2	16.0	11.0	5.0	17	3	A	群馬	○	4	1	20.0	12.0	8.0	20	2	H	京都	△	1	1	21.0	13.0	8.0	21	3	A	山形	△	0	0	21.0	13.0	8.0	22	3	A	大分	●	1	4	22.0	17.0	5.0	22	6	H	町田	○	2	1	24.0	18.0	6.0	25	5	A	愛媛	○	2	1	26.0	19.0	7.0	28	4	A	横浜FC	○	2	1	28.0	20.0	8.0	31	1	H	金沢	●	2	3	30.0	23.0	7.0	31	3	A	東京Ｖ	●	1	2	31.0	25.0	6.0	31	4	A	福岡	●	1	3	32.0	28.0	4.0	31	8	H	長崎	○	2	0	34.0	28.0	6.0	34	5	A	湘南	●	1	2	35.0	30.0	5.0	34	6	H	徳島	●	0	2	35.0	32.0	3.0	34	7	H	山形	○	1	0	36.0	32.0	4.0	37	5	A	京都	●	1	3	37.0	35.0	2.0	37	6	A	熊本	○	1	0	38.0	35.0	3.0	40	6	H	愛媛	○	7	4	45.0	39.0	6.0	43	5	H	松本	○	5	2	50.0	41.0	9.0	46	3	A	町田	○	4	3	54.0	44.0	10.0	49	3	H	福岡	○	3	1	57.0	45.0	12.0	52	3	H	横浜FC	●	2	3	59.0	48.0	11.0	52	3	A	水戸	△	1	1	60.0	49.0	11.0	53	3	H	大分	●	0	1	60.0	50.0	10.0	53	4	A	金沢	●	1	3	61.0	53.0	8.0	53	6	H	東京Ｖ	○	4	1	65.0	54.0	11.0	56	5	A	岐阜	○	6	2	71.0	56.0	15.0	59	4	A	山口	○	3	1	74.0	57.0	17.0	62	4	A	岐阜	○	3	2	77.0	59.0	18.0	65	4	A	長崎	△	1	1	78.0	60.0	18.0	66	4	H	群馬	○	4	2	82.0	62.0	20.0	69	3	A	岡山	○	1	0	83.0	62.0	21.0	72	3	H	千葉	●	0	3	83.0	65.0	18.0	72	4	A	讃岐	○	2	0	85.0	65.0	20.0	75	3
