H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,町田,○,1,0,1,0,1,3,6
H,山形,△,1,1,2,1,1,4,6
H,名古屋,○,2,0,4,1,3,7,1
A,松本,●,1,3,5,4,1,7,8
A,湘南,●,0,2,5,6,-1,7,12
H,京都,△,2,2,7,8,-1,8,10
H,群馬,△,1,1,8,9,-1,9,13
A,山口,○,1,0,9,9,0,12,12
A,横浜FC,●,0,4,9,13,-4,12,15
H,徳島,○,2,0,11,13,-2,15,12
A,讃岐,△,1,1,12,14,-2,16,11
A,金沢,●,1,2,13,16,-3,16,14
H,長崎,○,5,0,18,16,2,19,12
A,東京Ｖ,●,0,3,18,19,-1,19,12
H,熊本,△,1,1,19,20,-1,20,13
H,愛媛,○,4,2,23,22,1,23,11
A,岡山,●,1,2,24,24,0,23,14
H,福岡,△,0,0,24,24,0,24,14
A,水戸,●,1,3,25,27,-2,24,15
A,岐阜,○,6,4,31,31,0,27,13
H,大分,○,4,1,35,32,3,30,13
H,讃岐,○,4,3,39,35,4,33,9
A,熊本,●,0,1,39,36,3,33,12
H,金沢,○,2,0,41,36,5,36,10
A,愛媛,●,0,1,41,37,4,36,12
A,徳島,○,1,0,42,37,5,39,10
H,山口,○,2,1,44,38,6,42,7
H,湘南,●,0,1,44,39,5,42,10
A,山形,△,2,2,46,41,5,43,9
H,岐阜,●,1,3,47,44,3,43,12
H,東京Ｖ,△,2,2,49,46,3,44,12
A,群馬,●,0,2,49,48,1,44,13
H,水戸,○,2,1,51,49,2,47,11
A,長崎,●,1,2,52,51,1,47,12
A,京都,●,0,2,52,53,-1,47,12
H,岡山,○,3,1,55,54,1,50,10
A,京都,○,5,1,60,55,5,53,10
A,福岡,○,1,0,61,55,6,56,10
A,大分,○,2,1,63,56,7,59,10
H,町田,○,2,1,65,57,8,62,9
A,名古屋,○,3,0,68,57,11,65,8
H,横浜FC,○,2,1,70,58,12,68,6
